TEAM,LEAGUE,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Los Angeles Dodgers,NL,25,859,6.36,241,38,5,46,152,102,187,34,1,.281,.360,.497,.857
Arizona Diamondbacks,NL,25,859,5.72,229,40,4,39,137,97,213,25,5,.267,.348,.459,.807
Philadelphia Phillies,NL,25,845,5.0,220,49,3,35,121,68,224,20,6,.260,.322,.450,.772
San Francisco Giants,NL,24,814,4.416666666666667,189,39,4,34,101,57,242,12,1,.232,.284,.415,.699
Atlanta Braves,NL,25,845,4.6,215,42,2,33,110,85,197,14,4,.254,.328,.426,.754
New York Mets,NL,25,809,4.68,187,28,2,32,110,77,209,16,3,.231,.311,.389,.700
Seattle Mariners,AL,25,862,5.28,230,49,1,32,128,94,230,27,3,.267,.349,.437,.786
Texas Rangers,AL,25,841,4.6,200,34,1,32,109,75,210,23,3,.238,.308,.395,.703
San Diego Padres,NL,23,787,4.173913043478261,201,48,1,30,87,59,165,16,4,.255,.309,.433,.742
Baltimore Orioles,AL,24,830,4.25,204,34,3,29,99,82,222,14,2,.246,.315,.399,.714
Colorado Rockies,NL,24,788,3.7916666666666665,178,37,5,29,89,64,269,14,3,.226,.286,.396,.682
Cleveland Guardians,AL,24,785,3.5,183,37,2,27,83,63,198,22,11,.233,.293,.389,.682
Los Angeles Angels,AL,25,843,4.0,187,26,1,27,95,80,250,22,5,.222,.299,.351,.650
New York Yankees,AL,25,833,4.76,191,32,0,27,111,113,224,26,6,.229,.326,.365,.691
Houston Astros,AL,24,839,4.666666666666667,224,45,1,26,102,79,173,11,1,.267,.333,.416,.749
Milwaukee Brewers,NL,25,831,4.36,185,39,6,26,106,82,247,41,4,.223,.292,.378,.670
Pittsburgh Pirates,NL,26,851,3.576923076923077,191,36,1,26,92,80,236,14,5,.224,.295,.361,.656
Chicago Cubs,NL,25,837,4.4,212,27,5,25,106,85,191,17,6,.253,.324,.387,.711
Chicago White Sox,AL,24,819,3.625,187,23,1,24,84,58,203,7,5,.228,.282,.347,.629
St. Louis Cardinals,NL,25,845,4.0,200,45,5,23,97,80,207,16,6,.237,.304,.383,.687
Boston Red Sox,AL,25,820,3.72,185,41,2,22,90,77,247,20,9,.226,.302,.361,.663
Miami Marlins,NL,25,875,4.68,229,46,5,22,109,74,247,19,7,.262,.319,.401,.720
Oakland Athletics,AL,25,864,3.32,198,40,3,21,82,60,251,17,2,.229,.282,.355,.637
Tampa Bay Rays,AL,26,857,2.9615384615384617,197,28,6,21,73,56,235,23,7,.230,.282,.350,.632
Washington Nationals,NL,25,829,3.4,194,38,2,21,80,64,201,36,10,.234,.294,.361,.655
Minnesota Twins,AL,26,886,3.4615384615384617,194,43,2,20,85,69,212,3,1,.219,.284,.340,.624
Detroit Tigers,AL,24,811,4.166666666666667,192,36,7,19,95,91,243,9,4,.237,.314,.369,.683
Toronto Blue Jays,AL,23,789,3.652173913043478,194,35,5,15,81,68,187,7,2,.246,.314,.360,.674
Cincinnati Reds,NL,24,779,3.4583333333333335,174,29,5,14,78,75,215,28,6,.223,.299,.327,.626
Kansas City Royals,AL,24,778,3.0,158,26,4,14,66,69,215,21,2,.203,.273,.301,.574
